ID,CDS,Total,Female,Male,NativeAmericanorIndian,Asian,Pacific,Filipino,Hispanic,AfricanAmerican,White,MultipleRace,NoRace,D7,D8,D9,D10,D11,D12,Academic_Year,County,School,City,Zip,State,Latitude,Longitude
0,1100170109835,7,7,0,0,0,0,0,0,0,7,0,0,1,2,1,1,1,1,2010,Alameda,FAME Public Charter,Newark,94560-5359,CA,37.521436,-121.99391
1,1100170109835,12,12,0,0,0,0,0,0,0,12,0,0,1,5,2,1,1,2,2011,Alameda,FAME Public Charter,Newark,94560-5359,CA,37.521436,-121.99391
2,1100170130401,80,12,68,0,0,0,0,0,80,0,0,0,2,3,6,10,9,50,2009,Alameda,Alameda County Juvenile Hall/Court,San Leandro,94578-1005,CA,37.712878,-122.11173
3,1100170130401,81,0,81,0,0,0,0,0,81,0,0,0,2,1,4,10,15,49,2011,Alameda,Alameda County Juvenile Hall/Court,San Leandro,94578-1005,CA,37.712878,-122.11173
4,1100170130401,87,0,87,0,0,0,0,0,87,0,0,0,2,3,4,15,14,49,2010,Alameda,Alameda County Juvenile Hall/Court,San Leandro,94578-1005,CA,37.712878,-122.11173
5,1100170130401,90,0,90,0,0,0,0,0,90,0,0,0,1,3,10,23,24,29,2006,Alameda,Alameda County Juvenile Hall/Court,San Leandro,94578-1005,CA,37.712878,-122.11173
6,1100170130401,266,74,192,0,0,0,0,0,266,0,0,0,4,8,17,32,50,155,2007,Alameda,Alameda County Juvenile Hall/Court,San Leandro,94578-1005,CA,37.712878,-122.11173
7,1100170130401,225,0,225,0,0,0,0,0,225,0,0,0,1,5,20,22,41,136,2008,Alameda,Alameda County Juvenile Hall/Court,San Leandro,94578-1005,CA,37.712878,-122.11173
8,1100170130419,56,0,56,0,0,0,0,31,25,0,0,0,2,3,15,18,8,10,2008,Alameda,Alameda County Community,Hayward,94544-1136,CA,37.658212,-122.09713
9,1100170130419,21,0,21,0,0,0,0,21,0,0,0,0,1,1,5,5,5,4,2009,Alameda,Alameda County Community,Hayward,94544-1136,CA,37.658212,-122.09713
